Time,x(t),dx(t),ddx(t)
13.05652826,0.096475802,-0.045382981,-0.096475799
13.10655328,0.097057673,-0.051734507,-0.097057681
13.15657829,0.097162747,-0.058208557,-0.097162733
13.2066033,0.081586241,-0.054599361,-0.081586275
13.25662831,0.084728591,-0.063057168,-0.08472859
13.30665333,0.084475691,-0.069695297,-0.084475715
13.35667834,0.064441817,-0.058822855,-0.064441867
13.40670335,0.072986832,-0.073642571,-0.07298685
13.45672836,0.073432608,-0.08190653,-0.07343267
13.50675338,0.066743367,-0.082387898,-0.066743408
13.55677839,0.05902327,-0.080807422,-0.059023318
13.6068034,0.069802534,-0.106349631,-0.069802641
13.65682841,0.060927546,-0.10379597,-0.060927608
13.70685343,0.046698215,-0.089529235,-0.046698294
13.75687844,0.041324189,-0.08992706,-0.041324266
13.80690345,0.040112128,-0.100216549,-0.040112208
13.85692846,0.032568368,-0.094866317,-0.032568467
13.90695348,0.03149796,-0.109259395,-0.031498054
13.95697849,0.020140003,-0.085764247,-0.020140089
14.0070035,0.017686648,-0.096851594,-0.017686754
14.05702851,0.014038025,-0.106876371,-0.014038133
14.10705353,0.008934818,-0.110647306,-0.008934944
14.15707854,0.002625163,-0.085901681,-0.002625257
14.20710355,-0.001777062,-0.091239473,0.001776957
14.25712856,-0.005831252,-0.083768437,0.005831152
14.30715358,-0.010978762,-0.09141586,0.010978651
14.35717859,-0.014848427,-0.086734988,0.014848319
14.4072036,-0.023158098,-0.103767628,0.023157965
14.45722861,-0.02748465,-0.099464226,0.027484516
14.50725363,-0.031210385,-0.094298971,0.031210264
14.55727864,-0.036542455,-0.094312855,0.036542318
14.60730365,-0.046014494,-0.10312939,0.046014347
14.65732866,-0.040901743,-0.080580614,0.040901631
14.70735368,-0.040431228,-0.070659751,0.040431115
14.75737869,-0.058284066,-0.090981409,0.058283937
14.8074037,-0.056306261,-0.078907994,0.056306127
14.85742871,-0.056251684,-0.071031334,0.056251565
14.90745373,-0.070190954,-0.080057453,0.070190844
14.95747874,-0.056400206,-0.058181962,0.056400091
15.00750375,-0.067425717,-0.062929773,0.067425611
15.05752876,-0.058683562,-0.049518532,0.058683464
15.10755378,-0.082336311,-0.06270579,0.082336177
15.15757879,-0.096307977,-0.066007655,0.096307872
15.2076038,-0.081033534,-0.049773779,0.081033407
15.25762881,-0.081488667,-0.044601832,0.081488569
15.30765383,-0.10700915,-0.051793245,0.107009033
15.35767884,-0.098716837,-0.041823768,0.098716708
15.40770385,-0.117292724,-0.042911192,0.117292631
15.45772886,-0.097904419,-0.030360181,0.097904302
15.50775388,-0.099943464,-0.02559132,0.099943369
15.55777889,-0.113140866,-0.023011021,0.113140807
15.6078039,-0.098256929,-0.014912611,0.098256827
15.65782891,-0.102852648,-0.010381723,0.102852589
15.70785393,-0.076357343,-0.003864847,0.07635728
15.75787894,-0.118411719,-6.48E-05,0.118411631
15.80790395,-0.104696429,0.005184392,0.104696408
15.85792896,-0.099304649,0.009913843,0.099304572
15.90795398,-0.108807118,0.016392054,0.108807078
15.95797899,-0.087197308,0.01763519,0.087197275
16.008004,-0.092365816,0.023543347,0.092365768
16.05802901,-0.101721075,0.031421774,0.101721077
16.10805403,-0.095195458,0.034708932,0.095195414
16.15807904,-0.097082253,0.041006021,0.097082239
16.20810405,-0.093117557,0.044943943,0.093117574
16.25812906,-0.094129411,0.051386852,0.094129387
16.30815408,-0.074656959,0.045744652,0.074656981
16.35817909,-0.093918908,0.064219359,0.093918905
16.4082041,-0.076436902,0.058080926,0.076436913
16.45822911,-0.077616727,0.065349569,0.077616785
16.50825413,-0.069390396,0.064621598,0.069390406
16.55827914,-0.06827509,0.070278042,0.068275137
16.60830415,-0.068114814,0.077518307,0.068114856
16.65832916,-0.06732729,0.084826215,0.067327333
16.70835418,-0.063975969,0.089449359,0.063976054
16.75837919,-0.056868081,0.088557735,0.056868129
16.8084042,-0.047206834,0.082292309,0.0472069
16.85842921,-0.047449681,0.09322805,0.047449766
16.90845423,-0.042196323,0.094294799,0.042196393
16.95847924,-0.036766026,0.094582826,0.036766122
17.00850425,-0.033501625,0.100852005,0.03350171
17.05852926,-0.023534164,0.084806604,0.023534244
17.10855428,-0.017605395,0.078483233,0.017605483
17.15857929,-0.019169866,0.111246809,0.019169973
17.2086043,-0.011979121,0.098832858,0.01197923
17.25862931,-0.007411517,0.104815744,0.00741163
17.30865433,-0.001894733,0.092109887,0.001894835
17.35867934,0.003346338,0.113565726,-0.003346204
17.40870435,0.008290293,0.104083523,-0.00829017
17.45872936,0.012794548,0.098240858,-0.012794428
17.50875438,0.018529219,0.102096846,-0.018529093
17.55877939,0.018957143,0.081125496,-0.018957037
17.6088044,0.028877452,0.100582386,-0.028877324
17.65882941,0.037507367,0.109642931,-0.037507213
17.70885443,0.038563261,0.096652979,-0.038563125
17.75887944,0.042805397,0.09341941,-0.042805276
17.80890445,0.045080598,0.08665888,-0.045080462
17.85892946,0.056492743,0.096482323,-0.056492605
17.90895448,0.062065847,0.094787943,-0.062065693
17.95897949,0.05684771,0.078007848,-0.05684758
18.0090045,0.065690964,0.081270344,-0.065690851
18.05902951,0.068822249,0.076933246,-0.068822102
18.10905453,0.073785899,0.074611837,-0.073785773
18.15907954,0.068682252,0.062831388,-0.068682139
18.20910455,0.086630376,0.071632371,-0.086630225
18.25912956,0.085433605,0.063727176,-0.085433501
18.30915458,0.093851577,0.062956345,-0.093851426
18.35917959,0.076837555,0.046146371,-0.076837454
18.4092046,0.079571718,0.042525838,-0.079571639
18.45922961,0.110028486,0.051905351,-0.110028333
18.50925463,0.103976989,0.042833135,-0.103976895
18.55927964,0.087331663,0.030965058,-0.087331559
18.60930465,0.105039054,0.031426686,-0.105038943
18.65932966,0.093409771,0.022927153,-0.093409722
18.70935468,0.082227117,0.015870529,-0.082227027
18.75937969,0.07890703,0.011171154,-0.078906977
18.8094047,0.100246725,0.009108698,-0.100246648
18.85942971,0.116531062,0.004732475,-0.116530965
18.90945473,0.116224336,-0.00109673,-0.116224301
18.95947974,0.113393293,-0.006750441,-0.113393201
19.00950475,0.108600612,-0.011937992,-0.108600561
19.05952976,0.102761801,-0.016532097,-0.102761772
